ID,location,date,time,total,new 
13,Jeon-buk,2020-03-02,0:00,6,1
14,Jeon-nam,2020-03-02,0:00,5,2
15,Sejong,2020-03-02,0:00,1,0
16,Seoul,2020-03-02,0:00,91,9
17,Ulsan,2020-03-02,0:00,20,3
1,Busan,2020-03-03,0:00,90,2
2,Chung-buk,2020-03-03,0:00,11,0
3,Chung-nam,2020-03-03,0:00,81,3
4,Daegu,2020-03-03,0:00,3601,520
5,Daejeon,2020-03-03,0:00,14,0
6,Gangwon,2020-03-03,0:00,20,1
7,Gwangju,2020-03-03,0:00,11,2
8,Gyeonggi,2020-03-03,0:00,94,2
9,Gyeong-buk,2020-03-03,0:00,685,61
10,Gyeong-nam,2020-03-03,0:00,64,0
11,Incheon,2020-03-03,0:00,7,0
12,Jeju,2020-03-03,0:00,3,1
13,Jeon-buk,2020-03-03,0:00,7,1
14,Jeon-nam,2020-03-03,0:00,5,0
15,Sejong,2020-03-03,0:00,1,0
16,Seoul,2020-03-03,0:00,98,7
17,Ulsan,2020-03-03,0:00,20,0
1,Busan,2020-03-04,0:00,93,3
2,Chung-buk,2020-03-04,0:00,11,0
3,Chung-nam,2020-03-04,0:00,82,1
4,Daegu,2020-03-04,0:00,4006,405
5,Daejeon,2020-03-04,0:00,15,1
6,Gangwon,2020-03-04,0:00,21,1
7,Gwangju,2020-03-04,0:00,13,2
8,Gyeonggi,2020-03-04,0:00,101,7
9,Gyeong-buk,2020-03-04,0:00,774,89
10,Gyeong-nam,2020-03-04,0:00,65,1
11,Incheon,2020-03-04,0:00,9,2
12,Jeju,2020-03-04,0:00,3,0
13,Jeon-buk,2020-03-04,0:00,7,0
14,Jeon-nam,2020-03-04,0:00,5,0
15,Sejong,2020-03-04,0:00,1,0
16,Seoul,2020-03-04,0:00,99,1
17,Ulsan,2020-03-04,0:00,23,3
1,Busan,2020-03-05,0:00,92,-1
2,Chung-buk,2020-03-05,0:00,12,1
3,Chung-nam,2020-03-05,0:00,86,4
4,Daegu,2020-03-05,0:00,4327,321
5,Daejeon,2020-03-05,0:00,16,1
6,Gangwon,2020-03-05,0:00,23,2
7,Gwangju,2020-03-05,0:00,14,1
8,Gyeonggi,2020-03-05,0:00,110,9
9,Gyeong-buk,2020-03-05,0:00,861,87
10,Gyeong-nam,2020-03-05,0:00,74,9
11,Incheon,2020-03-05,0:00,9,0
12,Jeju,2020-03-05,0:00,4,1
13,Jeon-buk,2020-03-05,0:00,7,0
14,Jeon-nam,2020-03-05,0:00,4,-1
15,Sejong,2020-03-05,0:00,1,0
16,Seoul,2020-03-05,0:00,103,4
17,Ulsan,2020-03-05,0:00,23,0
1,Busan,2020-03-06,0:00,95,3
2,Chung-buk,2020-03-06,0:00,15,3
3,Chung-nam,2020-03-06,0:00,90,4
4,Daegu,2020-03-06,0:00,4694,367
5,Daejeon,2020-03-06,0:00,18,2
6,Gangwon,2020-03-06,0:00,25,2
7,Gwangju,2020-03-06,0:00,13,-1
8,Gyeonggi,2020-03-06,0:00,120,10
9,Gyeong-buk,2020-03-06,0:00,984,123
10,Gyeong-nam,2020-03-06,0:00,77,3
11,Incheon,2020-03-06,0:00,9,0
12,Jeju,2020-03-06,0:00,4,0
13,Jeon-buk,2020-03-06,0:00,7,0
14,Jeon-nam,2020-03-06,0:00,4,0
15,Sejong,2020-03-06,0:00,1,0
16,Seoul,2020-03-06,0:00,105,2
17,Ulsan,2020-03-06,0:00,23,0
1,Busan,2020-03-07,0:00,96,1
2,Chung-buk,2020-03-07,0:00,20,5
3,Chung-nam,2020-03-07,0:00,92,2
4,Daegu,2020-03-07,0:00,5084,390
5,Daejeon,2020-03-07,0:00,18,0
6,Gangwon,2020-03-07,0:00,26,1
7,Gwangju,2020-03-07,0:00,13,0
8,Gyeonggi,2020-03-07,0:00,130,10
9,Gyeong-buk,2020-03-07,0:00,1049,65
10,Gyeong-nam,2020-03-07,0:00,82,5
11,Incheon,2020-03-07,0:00,9,0
12,Jeju,2020-03-07,0:00,4,0
13,Jeon-buk,2020-03-07,0:00,7,0
14,Jeon-nam,2020-03-07,0:00,4,0
15,Sejong,2020-03-07,0:00,2,1
16,Seoul,2020-03-07,0:00,108,3
17,Ulsan,2020-03-07,0:00,23,0
1,Busan,2020-03-08,0:00,97,1
2,Chung-buk,2020-03-08,0:00,24,4
3,Chung-nam,2020-03-08,0:00,98,6
4,Daegu,2020-03-08,0:00,5381,297
5,Daejeon,2020-03-08,0:00,18,0
6,Gangwon,2020-03-08,0:00,27,1
7,Gwangju,2020-03-08,0:00,13,0
8,Gyeonggi,2020-03-08,0:00,141,11
9,Gyeong-buk,2020-03-08,0:00,1081,32
10,Gyeong-nam,2020-03-08,0:00,83,1
11,Incheon,2020-03-08,0:00,9,0
12,Jeju,2020-03-08,0:00,4,0
13,Jeon-buk,2020-03-08,0:00,7,0
14,Jeon-nam,2020-03-08,0:00,4,0
15,Sejong,2020-03-08,0:00,3,1
16,Seoul,2020-03-08,0:00,120,12
17,Ulsan,2020-03-08,0:00,24,1
1,Busan,2020-03-09,0:00,96,-1
2,Chung-buk,2020-03-09,0:00,25,1
3,Chung-nam,2020-03-09,0:00,102,4
4,Daegu,2020-03-09,0:00,5571,190
5,Daejeon,2020-03-09,0:00,19,1
6,Gangwon,2020-03-09,0:00,28,1
7,Gwangju,2020-03-09,0:00,15,2
8,Gyeonggi,2020-03-09,0:00,152,11
9,Gyeong-buk,2020-03-09,0:00,1107,26
10,Gyeong-nam,2020-03-09,0:00,83,0
11,Incheon,2020-03-09,0:00,9,0
12,Jeju,2020-03-09,0:00,4,0
13,Jeon-buk,2020-03-09,0:00,7,0
14,Jeon-nam,2020-03-09,0:00,4,0
15,Sejong,2020-03-09,0:00,6,3
16,Seoul,2020-03-09,0:00,130,10
17,Ulsan,2020-03-09,0:00,24,0
1,Busan,2020-03-10,0:00,96,0
2,Chung-buk,2020-03-10,0:00,25,0
3,Chung-nam,2020-03-10,0:00,104,2
4,Daegu,2020-03-10,0:00,5663,92
5,Daejeon,2020-03-10,0:00,18,-1
6,Gangwon,2020-03-10,0:00,28,0
7,Gwangju,2020-03-10,0:00,15,0
8,Gyeonggi,2020-03-10,0:00,163,11
9,Gyeong-buk,2020-03-10,0:00,1117,10
10,Gyeong-nam,2020-03-10,0:00,83,0
11,Incheon,2020-03-10,0:00,13,4
12,Jeju,2020-03-10,0:00,4,0
13,Jeon-buk,2020-03-10,0:00,7,0
14,Jeon-nam,2020-03-10,0:00,4,0
15,Sejong,2020-03-10,0:00,8,2
16,Seoul,2020-03-10,0:00,141,11
17,Ulsan,2020-03-10,0:00,24,0
1,Busan,2020-03-11,0:00,98,2
2,Chung-buk,2020-03-11,0:00,27,2
3,Chung-nam,2020-03-11,0:00,112,8
4,Daegu,2020-03-11,0:00,5794,131
5,Daejeon,2020-03-11,0:00,18,0
6,Gangwon,2020-03-11,0:00,29,1
7,Gwangju,2020-03-11,0:00,15,0
8,Gyeonggi,2020-03-11,0:00,175,12
9,Gyeong-buk,2020-03-11,0:00,1135,18
10,Gyeong-nam,2020-03-11,0:00,84,1
11,Incheon,2020-03-11,0:00,25,12
12,Jeju,2020-03-11,0:00,4,0
13,Jeon-buk,2020-03-11,0:00,7,0
14,Jeon-nam,2020-03-11,0:00,4,0
15,Sejong,2020-03-11,0:00,10,2
16,Seoul,2020-03-11,0:00,193,52
17,Ulsan,2020-03-11,0:00,25,1
1,Busan,2020-03-12,0:00,99,1
2,Chung-buk,2020-03-12,0:00,27,0
3,Chung-nam,2020-03-12,0:00,114,2
4,Daegu,2020-03-12,0:00,5867,73
5,Daejeon,2020-03-12,0:00,20,2
6,Gangwon,2020-03-12,0:00,29,0
7,Gwangju,2020-03-12,0:00,15,0
8,Gyeonggi,2020-03-12,0:00,178,3
9,Gyeong-buk,2020-03-12,0:00,1143,8
10,Gyeong-nam,2020-03-12,0:00,85,1
11,Incheon,2020-03-12,0:00,25,0
12,Jeju,2020-03-12,0:00,4,0
13,Jeon-buk,2020-03-12,0:00,7,0
14,Jeon-nam,2020-03-12,0:00,4,0
15,Sejong,2020-03-12,0:00,15,5
16,Seoul,2020-03-12,0:00,212,19
17,Ulsan,2020-03-12,0:00,25,0
1,Busan,2020-03-13,0:00,100,1
2,Chung-buk,2020-03-13,0:00,27,0
3,Chung-nam,2020-03-13,0:00,115,1
4,Daegu,2020-03-13,0:00,5928,61
5,Daejeon,2020-03-13,0:00,22,2
6,Gangwon,2020-03-13,0:00,29,0
7,Gwangju,2020-03-13,0:00,15,0
8,Gyeonggi,2020-03-13,0:00,185,7
9,Gyeong-buk,2020-03-13,0:00,1147,4
10,Gyeong-nam,2020-03-13,0:00,85,0
11,Incheon,2020-03-13,0:00,27,2
